File,LipidClass,LipidSpecies,Adduct,Label,CCS
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,HexCer,HexCer 34:2;3,[M+H],light,284.04
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,HexCer,HexCer 34:2;3,[M+Na],light,282.23
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,HexCer,HexCer 34:2;3,[M+H],heavy,284.3
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,HexCer,HexCer 34:2;3,[M+Na],heavy,284.43
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,HexCer,HexCer 36:1;3,[M+H],light,290.68
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,HexCer,HexCer 36:1;3,[M+Na],light,291.89
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,HexCer,HexCer 36:1;3,[M+H],heavy,290.94
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,HexCer,HexCer 36:1;3,[M+Na],heavy,291.35
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,HexCer,HexCer 36:2;3 - 1,[M+H],light,289.6
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,HexCer,HexCer 36:2;3 - 1,[M+H],heavy,291.5
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,HexCer,HexCer 36:2;3 - 2,[M+H],light,290.69
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,HexCer,HexCer 36:2;3 - 2,[M+Na],light,290.54
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,HexCer,HexCer 36:2;3 - 2,[M+H],heavy,291.23
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,HexCer,HexCer 36:2;3 - 2,[M+Na],heavy,290.27
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,HexCer,HexCer 37:2;3,[M+H],light,291.69
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,HexCer,HexCer 37:2;3,[M+Na],light,292.09
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,HexCer,HexCer 37:2;3,[M+H],heavy,291.95
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,HexCer,HexCer 37:2;3,[M+Na],heavy,292.37
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,LPC,LPC 16:0,[M+H],light,230.55
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,LPC,LPC 16:0,[M+H],heavy,229.42
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,LPC,LPC 16:1,[M+H],light,225.79
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,LPC,LPC 16:1,[M+H],heavy,226.63
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,LPC,LPC 18:0,[M+H],light,237.24
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,LPC,LPC 18:0,[M+H],heavy,238.36
